"pais","continente","casos_totais","populacao","pct_pop_infectada"
"Qatar","Asia","109597","2807805","3.9033"
"Bahrain","Asia","39482","1706669","2.3134"
"San Marino","Europe","699","33938","2.0596"
"Chile","South America","347923","19132514","1.8185"
"Oman","Asia","77058","5118446","1.5055"
"Kuwait","Asia","64379","4276658","1.5054"
"Panama","North America","61442","4321282","1.4218"
"Armenia","Asia","37390","2963811","1.2616"
"Peru","South America","389717","33016319","1.1804"
"Andorra","Europe","907","77278","1.1737"
"Brazil","South America","2442375","212710692","1.1482"
"Luxembourg","Europe","6321","626952","1.0082"
"Singapore","Asia","50838","5854932","0.8683"
"Sweden","Europe","79395","10105596","0.7857"
"Saudi Arabia","Asia","268934","34865919","0.7713"
"South Africa","Africa","452529","59381566","0.7621"
"Belarus","Europe","67251","9449001","0.7117"
"Israel","Asia","63985","9197590","0.6957"
"Maldives","Asia","3369","541448","0.6222"
"Bolivia","South America","71181","11688459","0.6090"
